latitude,longitude
30.28997,-90.86742
30.28731,-90.87822
30.27283,-90.86233
30.27597,-90.87147
30.27625,-90.87133
30.46451,-90.08297
30.44847,-91.08661
30.46692,-90.96209
30.46661,-90.95997
30.48881,-90.54521
30.49,-90.54482
30.48817,-90.59181
30.44751,-90.96066
30.76917,-91.09278
30.48869,-90.54966
30.45361,-91.01864
30.45361,-91.01864
30.468675,-90.958537
30.48326,-90.56216
30.48223,-90.55499
30.45639,-90.95569
30.45639,-90.95558
30.4709,-91.00539
30.46097,-90.94747
30.4963,-90.9464
30.45478,-90.97187
30.451769,-90.946529
30.97492,-90.85778
30.47886,-91.00417
30.0,-90.94872
30.41801,-90.95022
30.453911,-90.933992
30.47956,-90.64419
30.49779,-91.01759
30.45544,-90.93372
30.45547,-90.93375
30.60693,-90.60757
30.47742,-90.62887
30.44239,-91.00383
30.44239,-91.00383
30.44239,-91.00383
30.96681,-90.86169
30.96681,-90.86161
30.96681,-90.86161
30.45636,-91.00771
30.88458,-90.81014
30.88506,-90.81106
30.43578,-90.99839
30.43578,-90.99839
30.58827,-90.59743
30.60242,-90.54485
30.49084,-90.99315
30.5137,-90.57387
30.55505,-90.57578
30.4911,-90.99287
30.48985,-90.66048
30.6496,-90.62543
30.5236,-90.51237
30.58508,-90.87796
30.448428,-90.926471
30.56703,-90.57448
30.502753,-90.941486
30.44779,-91.06694
30.26867,-91.4015
30.41608,-90.97267
30.56955,-90.65083
30.37103,-90.97734
30.44616,-90.72603
30.2637106,-91.0325417
30.54352,-90.953341
30.422032,-90.923561
30.40711,-91.0015
30.40711,-91.00156
30.546339,-90.910783
30.419657,-91.007019
30.48348,-91.15028
30.48348,-91.15028
30.67338,-90.62595
30.6751,-90.62516
30.67858,-90.6272
30.49673,-91.03607
30.49673,-91.03607
30.51172,-91.12135
30.5343,-91.12956
30.53415,-91.12959
30.55417,-91.11227
30.18333,-90.86189
30.58142,-90.64299
30.44025,-90.5575
30.43895,-90.5577
30.43906,-90.55943
30.47189,-91.02601
30.49127,-91.08415
30.396603,-90.903122
30.19135,-90.86071
30.19129,-90.85989
30.50599,-90.58994
30.53302,-91.07331
30.38553,-90.76989
30.47506,-91.03249
30.55613,-90.62331
30.28489,-90.85147
30.38876,-91.0046
30.38876,-91.0046
30.49497,-90.7485
30.79564,-90.73075
30.43825,-90.54297
30.44386,-90.54189
30.50346,-90.58112
30.56132,-91.07188
30.72042,-90.6515
30.957,-90.86608
30.373144,-90.867764
30.21313,-90.8802
30.88706,-90.81247
30.32992,-90.91267
30.64416,-91.08312
30.48215,-90.58324
30.44003,-90.57711
30.44008,-90.58904
30.22606,-90.87389
30.388695,-91.006952
30.33369,-90.87369
30.22612,-90.85628
30.82108,-90.83528
30.45444,-90.94653
30.45444,-90.94642
30.349174,-90.809215
30.70728,-91.13494
30.66219,-91.12436
30.50092,-90.58256
30.55646,-90.95628
30.22202,-90.85938
30.31564,-90.85392
30.81878,-90.84461
30.36498,-90.62845
30.36626,-90.6317
30.36737,-90.61037
30.36942,-90.61068
30.68429,-91.16138
30.298555,-90.799159
30.22659,-90.83467
30.86658,-91.02172
30.62107,-90.9922
30.26108,-90.86006
30.44094,-90.38678
30.23835,-90.83264
30.85894,-91.02606
30.45306,-90.34361
30.47633,-90.91754
30.48391,-90.64859
30.91186,-90.68064
30.48071,-90.62702
30.91178,-90.68067
30.48141,-90.6004
30.48037,-90.87599
30.60025,-90.99677
30.397925,-90.776855
30.7119,-90.18387
30.7119,-90.18387
30.24416,-90.83871
30.48165,-90.87599
30.32403,-90.89753
30.5076,-90.60217
30.36286,-90.57536
30.36447,-90.57526
30.36389,-90.56913
30.396229,-90.824731
30.421755,-91.03559
30.421755,-91.03559
30.50593,-90.6689
30.57297,-90.99356
30.81894,-91.03769
30.24046,-90.85557
30.46135,-90.85413
30.67624,-91.10737
30.5499,-90.6683
30.24064,-90.87539
30.81036,-91.02369
30.56775,-91.01313
30.41953,-90.86159
30.62677,-91.1108
30.36842,-90.53686
30.3704,-90.53666
30.74561,-90.62503
30.57213,-90.65783
30.59129,-91.12218
30.59633,-90.65118
30.44333,-91.04389
30.49428,-90.87785
30.25732,-90.87885
30.465578,-90.854774
30.53151,-91.06451
30.45939,-90.34847
30.57389,-91.13743
30.71281,-90.56894
30.45336,-90.32547
30.51503,-91.04908
30.47236,-90.855
30.54575,-91.14152
30.34544,-90.5732
30.70172,-91.05083
30.44297,-90.33586
30.76186,-91.04272
30.44852,-90.793508
30.45889,-90.27817
30.60679,-90.70844
30.51575,-90.94735
30.56552,-90.70456
30.58627,-90.70234
