latitude,longitude
30.93649,-90.50057
30.8753,-90.50047
30.87664,-90.49223
30.874874,-90.500008
30.77757,-90.49556
30.77714,-90.500057
30.93802,-90.4878
30.72924,-90.48123
30.72823,-90.48801
30.64269,-90.47609
30.63679,-90.4832
30.57341,-90.39513
30.59963,-90.44168
30.6045,-90.43673
30.5655,-90.40627
30.506,-90.338
30.511,-90.331
30.506,-90.33
30.503,-90.328
30.505,-90.327
30.494,-90.173
30.491,-90.17
30.494,-90.16
30.49748,-90.37277
30.49749,-90.37268
30.50668,-90.35628
30.50654,-90.35526
30.5091,-90.3638
30.50692,-90.36392
30.507,-90.351
30.512984,-90.3557781
30.4912,-90.3468
30.492,-90.345
30.494,-90.345
30.51196,-90.41455
30.508564,-90.40963
30.505648,-90.40984
30.5067585,-90.4111933
30.56073,-90.4104356
30.504233,-90.4103179
30.5047941,-90.4106988
30.494,-90.131
30.50658,-90.3617524
30.50306,-90.36458
30.50696,-90.36481
32.55747,-93.58244
32.55795,-93.58135
32.55877,-93.581718
32.558899,-93.581095
32.560088,-93.581771
32.560472,-93.58157
32.560763,-93.582392
32.561038,-93.582018
32.55769,-93.58115
32.562604,-93.580902
32.55692,-92.09151
32.55774,-92.09288
32.55726,-92.09281
32.5584,-92.09456
32.55817,-92.09903
32.55792,-92.09988
32.55891,-92.10074
32.55866,-92.1014
32.55794,-92.10066
32.55684,-92.10076
32.55791,-92.10176
32.55851,-92.10265
32.55688,-92.1029
32.55451,-92.10362
32.55496,-92.10281
32.55732,-92.10415
32.55529,-92.10376
32.55614,-92.10527
32.55798,-92.0702
32.55797,-92.06978
32.55743,-92.06875
32.55754,-92.06814
32.55713,-92.06621
32.55475,-92.05713
32.55478,-92.05782
32.55324,-92.05722
32.55365,-92.05943
32.55325,-92.05985
32.55371,-92.06081
32.5532,-92.06197
32.55246,-92.06284
32.55277,-92.06256
32.55277,-92.06144
32.55193,-92.0606
32.55276,-92.06051
32.55268,-92.05952
32.56247,-92.05855
32.55264,-92.05752
32.52568,-93.50787
32.5254,-93.50777
32.52557,-93.50703
32.52673,-93.50711
32.52617,-93.50811
32.52649,-93.50784
32.52725,-93.50845
32.527,-93.50831
32.52935,-93.50967
32.5288,-93.50946
32.42432,-93.63054
32.42387,-93.63066
32.42411,-93.63098
32.42488,-93.63055
32.42496,-93.63075
32.42493,-93.6312
32.42488,-93.63213
32.42575,-93.63141
32.42669,-93.6319
32.49081,-92.07337
32.48921,-92.07436
32.49031,-92.07503
32.49075,-92.07851
32.4626,-92.0944
32.46276,-92.09041
32.46516,-92.0932
32.45815,-92.06245
32.45882,-92.06908
32.46221,-92.07838
32.45403,-92.07442
32.44856,-92.06862
32.47783,-92.07565
32.46822,-92.0555
32.46006,-92.05634
32.561657,-92.056147
32.562337,-92.055884
32.562609,-92.058422
32.562753,-92.062675
32.561297,-92.062667
32.560365,-92.06076
32.55991,-92.05564
32.55924,-92.05756
32.55703,-92.05535
32.56324,-92.06349
32.55374,-92.06478
